GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
startpunkt,us.ullberg.startpunkt.health,KubernetesConnectionHealthCheck,13,107,0,0,3,23,0,3,0,3
startpunkt,us.ullberg.startpunkt.graphql.input,UpdateBookmarkInput,3,0,0,0,1,0,1,0,1,0
startpunkt,us.ullberg.startpunkt.graphql.input,CreateBookmarkInput,3,0,0,0,1,0,1,0,1,0
startpunkt,us.ullberg.startpunkt.graphql.input,CreateApplicationInput,3,0,0,0,1,0,1,0,1,0
startpunkt,us.ullberg.startpunkt.graphql.input,UpdateApplicationInput,3,0,0,0,1,0,1,0,1,0
startpunkt,us.ullberg.startpunkt.messaging,EventBroadcaster,137,359,32,34,62,110,31,15,2,11
startpunkt,us.ullberg.startpunkt.objects,BookmarkResponse,3,52,0,0,2,18,1,7,1,7
startpunkt,us.ullberg.startpunkt.objects,BookmarkGroup,155,0,34,0,30,0,26,0,9,0
startpunkt,us.ullberg.startpunkt.objects,ApplicationResponse,3,79,0,0,2,26,1,9,1,9
startpunkt,us.ullberg.startpunkt.objects,ApplicationGroupList,30,0,4,0,9,0,7,0,5,0
startpunkt,us.ullberg.startpunkt.objects,BookmarkGroupList,30,0,4,0,9,0,7,0,5,0
startpunkt,us.ullberg.startpunkt.objects,ApplicationGroup,164,0,32,0,33,0,28,0,12,0
startpunkt,us.ullberg.startpunkt.objects.theme,ThemeColors,32,24,0,0,14,9,9,3,9,3
startpunkt,us.ullberg.startpunkt.objects.theme,Theme,11,15,0,0,5,6,3,3,3,3
startpunkt,us.ullberg.startpunkt.objects.kubernetes,HajimariApplicationWrapper,0,82,0,2,0,12,0,10,0,9
startpunkt,us.ullberg.startpunkt.objects.kubernetes,IngressApplicationWrapper,2,37,1,3,1,10,1,4,0,3
startpunkt,us.ullberg.startpunkt.objects.kubernetes,GatewayApiHttpRouteWrapper,8,88,4,6,1,20,4,5,0,4
startpunkt,us.ullberg.startpunkt.objects.kubernetes,BaseKubernetesObject,86,399,33,29,20,110,27,38,2,32
startpunkt,us.ullberg.startpunkt.objects.kubernetes,AnnotatedKubernetesObject,72,453,13,33,13,59,13,26,0,16
startpunkt,us.ullberg.startpunkt.objects.kubernetes,RouteApplicationWrapper,9,74,4,6,0,13,4,5,0,4
startpunkt,us.ullberg.startpunkt.objects.kubernetes,IstioVirtualServiceApplicationWrapper,8,79,4,6,1,16,4,5,0,4
startpunkt,us.ullberg.startpunkt.objects.kubernetes,StartpunktApplicationWrapper,130,394,43,31,29,87,32,23,0,18
startpunkt,us.ullberg.startpunkt.objects.bingimage,BingImage,19,27,0,0,9,10,5,5,5,5
startpunkt,us.ullberg.startpunkt.graphql,ConfigGraphQLResource.WebConfig,0,15,0,0,0,6,0,1,0,1
startpunkt,us.ullberg.startpunkt.graphql,ThemeGraphQLResource,0,39,0,0,0,5,0,2,0,2
startpunkt,us.ullberg.startpunkt.graphql,ApplicationGraphQLResource,782,0,92,0,192,0,70,0,24,0
startpunkt,us.ullberg.startpunkt.graphql,I18nGraphQLResource,8,14,0,0,3,5,0,2,0,2
startpunkt,us.ullberg.startpunkt.graphql,IconifyGraphQLResource,168,0,14,0,32,0,10,0,3,0
startpunkt,us.ullberg.startpunkt.graphql,ConfigGraphQLResource.WebSocketConfig,0,6,0,0,0,3,0,1,0,1
startpunkt,us.ullberg.startpunkt.graphql,ConfigGraphQLResource.ConfigResponse,0,12,0,0,0,5,0,1,0,1
startpunkt,us.ullberg.startpunkt.graphql,ConfigGraphQLResource,0,27,0,0,0,3,0,2,0,2
startpunkt,us.ullberg.startpunkt.graphql,BingImageGraphQLResource,27,0,4,0,7,0,4,0,2,0
startpunkt,us.ullberg.startpunkt.graphql,SubscriptionEventEmitter,22,47,4,4,10,17,6,3,2,3
